날짜,KRX_OF
2024-03-26,1585.2038950766932
2024-03-27,1540.6967458816089
2024-03-28,1549.674078037896
2024-03-29,1548.8678924528224
2024-04-01,1522.6891514963702
2024-04-02,1523.9901806555167
2024-04-03,1510.1055966302035
2024-04-04,1542.5538778929588
2024-04-05,1526.8922622586776
2024-04-08,1509.7652003456144
2024-04-09,1506.661803559065
2024-04-11,1487.141036967789
2024-04-12,1462.6945371881038
2024-04-15,1464.4380252924184
2024-04-16,1449.7290040895255
2024-04-17,1427.1850607880008
2024-04-18,1485.956142233893
2024-04-19,1425.1347949941735
2024-04-22,1499.4768959882865
2024-04-23,1498.7774699007416
2024-04-24,1487.2744839283068
2024-04-25,1443.268728487901
2024-04-26,1480.4980566339002
2024-04-29,1491.0670638225993
2024-04-30,1456.5228117614377
2024-05-02,1438.243595609213
2024-05-03,1439.2726444596572
2024-05-07,1464.4904475496278
2024-05-08,1485.0278235765297
2024-05-09,1474.4509422295
2024-05-10,1510.8359622321143
2024-05-13,1544.2383987430953
2024-05-14,1530.3155168337084
2024-05-16,1506.839715852553
2024-05-17,1516.425264268428
2024-05-20,1505.453838548956
2024-05-21,1514.1529873742772
2024-05-22,1483.6967075197426
2024-05-23,1486.0616025688196
2024-05-24,1500.6977251695328
2024-05-27,1490.929013430681
2024-05-28,1483.6282374805048
2024-05-29,1461.8210126488161
2024-05-30,1454.101688648219
2024-05-31,1452.2651777655153
2024-06-03,1449.756307281608
2024-06-04,1426.0317128846732
2024-06-05,1425.1927895997865
2024-06-07,1492.4903916106996
2024-06-10,1505.5593272728204
2024-06-11,1483.163111087827
2024-06-12,1496.7087049885426
2024-06-13,1539.807160674918
2024-06-14,1493.2383276271876
2024-06-17,1500.1431770804572
2024-06-18,1525.2350718632954
2024-06-19,1563.1946649520808
2024-06-20,1574.3279169945042
2024-06-21,1559.8215179298163
2024-06-24,1509.5746664247974
2024-06-25,1539.866300419387
2024-06-26,1569.369840230038
2024-06-27,1580.352560439709
2024-06-28,1599.6460421428624
2024-07-01,1587.129646968021
2024-07-02,1572.0282630085721
2024-07-03,1609.9768520827895
2024-07-04,1628.4637927723825
2024-07-05,1670.829144392262
2024-07-08,1646.6092057421763
2024-07-09,1638.5162253105757
2024-07-10,1641.7119494304538
2024-07-11,1679.88503391855
2024-07-12,1666.4934486985123
2024-07-15,1661.0716186641425
2024-07-16,1662.690813671775
2024-07-17,1615.9390525467659
2024-07-18,1550.7638077668278
2024-07-19,1561.2737667812976
2024-07-22,1542.5348485953073
2024-07-23,1531.500120496611
2024-07-24,1528.1698232164435
2024-07-25,1485.1470387718018
2024-07-26,1522.397987888303
2024-07-29,1554.549799596955
2024-07-30,1531.7807684414372
2024-07-31,1581.4736088659815
2024-08-01,1542.0834354635565
2024-08-02,1468.2856604815602
2024-08-05,1375.9549934282943
2024-08-06,1410.606404239998
2024-08-07,1460.0838968273322
2024-08-08,1460.1321375179682
2024-08-09,1487.3622566363497
2024-08-12,1506.9072187646252
2024-08-13,1511.867253938256
2024-08-14,1545.4438167723742
2024-08-16,1624.454264086778
2024-08-19,1633.5270562880262
2024-08-20,1666.962281498634
2024-08-21,1630.2764886900834
2024-08-22,1634.2526887923755
2024-08-23,1651.1186191623774
2024-08-26,1654.4729481384147
2024-08-27,1651.853789587773
2024-08-28,1639.5030321896163
2024-08-29,1613.3410414520092
2024-08-30,1599.6722849949026
2024-09-02,1613.9955215966077
2024-09-03,1638.7645096205572
2024-09-04,1577.6222700073592
2024-09-05,1566.7092562138848
2024-09-06,1540.6386451294588
2024-09-09,1530.3762921987732
2024-09-10,1532.8818481134108
2024-09-11,1523.461028262447
2024-09-12,1574.002506540907
2024-09-13,1602.1826713375888
2024-09-19,1595.7527398437182
2024-09-20,1612.7382747398474
2024-09-23,1615.20299773644
2024-09-24,1643.3794924922363
2024-09-25,1588.5283491685316
2024-09-26,1701.2646238039288
2024-09-27,1681.9949614602078
2024-09-30,1652.0773627887131
2024-10-02,1624.2580982449954
2024-10-04,1637.5347060378338
2024-10-07,1672.124571277845
2024-10-08,1663.332827236392
2024-10-10,1692.3095336246326
2024-10-11,1715.1877620620292
2024-10-14,1743.574119924978
2024-10-15,1736.2869233619501
2024-10-16,1727.0643599658854
2024-10-17,1747.0779291875083
2024-10-18,1777.9893585985144
2024-10-21,1766.0853412290191
2024-10-22,1767.07322734734
2024-10-23,1775.3152479086857
2024-10-24,1777.4047064688798
2024-10-25,1811.9604627591166
2024-10-28,1777.848192200502
2024-10-29,1762.0784338655428
2024-10-30,1750.1373348190414
2024-10-31,1722.977852233816
2024-11-01,1717.0715530696114
2024-11-04,1759.170727873687
2024-11-05,1754.3295832135539
2024-11-06,1794.050550265279
2024-11-07,1787.0155815004498
2024-11-08,1814.9200264889198
2024-11-11,1794.1785797419127
2024-11-12,1763.1734277467804
2024-11-13,1729.4227497361608
2024-11-14,1670.6083740954389
2024-11-15,1661.8949128524991
2024-11-18,1701.5351491282422
2024-11-19,1686.9066644430472
2024-11-20,1707.7991836537428
